company,position,date_applied,response_date,status
Company,EMEA Lead Commercial Analyst,2025-12-23,2026-01-17,Rejected
Company,Global Data & AI Analyst,2025-12-24,,
Company,Financial Analyst - Marketing FP&A,2025-12-25,,
Company,Senior Revenue Analyst - Flights,2025-12-26,2025-12-30,Rejected
Company,"Sr. Sales Operations Analyst, EMEA",2026-01-05,,
Company,"Medior Data Analyst Gall & Gall (SQL, Power BI, Spark)",2026-01-05,2026-01-08,Rejected
Company,Senior Data Analyst,2026-01-09,,
Company,Senior Product Analyst,2026-01-10,2026-01-15,Rejected
Company,"Business Operations Analyst, Google Threat Intelligence Group",2026-01-10,,
Company,Senior Data Analyst,2026-01-12,2026-01-14,Rejected
Company,Senior Data Analyst,2026-01-12,,
Company,Index Data Analyst,2026-01-12,,
Company,Data Analist/ Data Modeler ( €6500 - €7400),2026-01-13,,
Company,Projects and Data & Research Specialist,2026-01-15,2026-01-19,Rejected
Company,Senior Pricing Analyst,2026-01-15,2026-01-20,Rejected
Company,Data Scientist Quality & Product Compliance,2026-01-16,2026-01-20,Rejected
Company,Financial Data Analyst (m/f/d),2026-01-16,2026-01-27,Rejected
Company,FP&A Solutions Analyst,2026-01-17,2026-01-20,Rejected
Company,Data Quality Specialist [206786],2026-01-19,2026-01-19,Rejected
Company,Lead Financial Analyst- Fintech,2026-01-19,2026-02-03,Rejected
Company,Business Analyst,2026-01-20,2026-01-20,Test task
Company,Medior Data Specialist ,2026-01-22,2026-01-23,Rejected
Company,Data Analyst 1,2026-01-26,2026-01-26,Test task
Company,Data Modeller,2026-01-27,2026-01-30,Rejected
Company,Sales Analyst EMEA,2026-01-29,2026-01-31,Rejected
Company,"Senior Analyst, Sales Technology & Data Strategy",2026-01-29,2026-02-05,Rejected
Company,Financial Data Analyst,2026-02-04,,
Company,Logistics Business Analyst,2026-02-04,2026-02-09,Rejected
Company,Senior Commercial Data Analyst (f/m/d),2026-02-04,2026-02-05,Rejected
Company,Senior Analyst,2026-02-09,,
Company,CRM Data Analyst,2026-02-09,,
Company,Process Analyst Product Data,2026-02-10,2026-02-13,Rejected
Company,Senior Specialist Commercial Strategy & Analytics,2026-02-10,,
Company,Senior Growth Analyst,2026-02-10,2026-02-17,Rejected
Company,"Senior Analyst, Sales Strategy and Operations",2026-02-10,2026-02-12,Rejected
Company,Business Analysis and Control Associate,2026-02-10,2026-02-12,Rejected
Company,Revenue Operations Analyst (Remote from Netherlands),2026-02-11,,
Company,Data Analyst FinTech and Finance,2026-02-11,2026-02-24,Rejected
Company,Senior Business Analyst - Analytics,2026-02-13,2026-02-26,Rejected
Company,Senior Strategy & Planning Analyst | Ireland | Remote,2026-02-16,,
Company,Data Analyst ref:H126,2026-02-17,2026-02-23,Interview
Company,Data Analyst,2026-02-18,,
Company,"(Senior) Data Analyst, Amsterdam",2026-02-19,,
Company,Senior Financial Analyst,2026-02-19,,
Company,Senior People Data Analyst,2026-02-26,,
Company,Senior Business analyst,2026-02-26,,
Company,Data Analyst (SQL) (TR/4043920),2026-02-26,,
Company,Senior Partnerships and Affiliate Analyst ,2026-02-26,,
